Header,Price,Price Per Square Meter,Surface,Rooms,Address,Latitude,Longitude,URL,Extraction Date,Floor,Rent,Additional Information,Seller Type,Free From,Type of Property,Form of Property,Status,Heating Type,Accessibility Score,Flag_hasSchoolNearby,Flag_hasParkNearby,Flag_hasPublicTransportNearby,Flag_hasSupermarketNearby,Flag_hasHospitalNearby,Flag_hasRestaurantNearby,Flag_hasGymNearby,Flag_hasShoppingMallNearby,Distance_schoolDistance,Distance_parkDistance,Distance_publicTransportDistance,Distance_supermarketDistance,Distance_hospitalDistance,Distance_restaurantDistance,Distance_gymDistance,Distance_shoppingMallDistance
Oferta promo Garsoniera la 4 minute Stb,45850.0,1349.0,34.0,1,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/oferta-promo-garsoniera-la-4-minute-stb-IDD8k0,2025-03-18T08:47:06.209678,4,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
Apartament 2 Camere 50MP Zona Grand Arena,65450.0,1309.0,50.0,2,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/apartament-2-camere-50mp-zona-grand-arena-IDD8jZ,2025-03-18T08:47:13.555335,3,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
"Apartament 1 camera in spate la Lidl Bucium,finalizat Cod:145537",49300.0,1541.0,32.0,1,"Soseaua Bucium, Bucium, Iasi, Iasi",47.12187,27.624605,https://www.storia.ro/ro/oferta/apartament-1-camera-in-spate-la-lidl-bucium-finalizat-cod145537-IDD8jY,2025-03-18T08:47:21.538338,fara informatii,0.0,,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,90,true,false,true,true,true,true,true,true,90.11253337358161,903.3641998970338,73.09140833721767,766.0078537430263,236.8210179791673,84.5078857292624,479.28268309950045,89.25663004549453
"Garsoniera 06, prima linie cu vedere la mare, Costinesti-Epava !",49000.0,1441.0,34.0,1,"Strada Faleza Portului, Costinesti, Costinesti, Constanta",44.035343,28.652178,https://www.storia.ro/ro/oferta/garsoniera-06-prima-linie-cu-vedere-la-mare-costinesti-epava-IDBFJK,2025-03-18T08:47:30.722400,parter/5,0.0,,agenție,fara informatii,locuință nouă,drept de proprietate,în construcție,centrală pe gaz,86,true,true,false,true,true,true,false,true,785.7143228612088,0.15539371995762852,618.8450683127627,272.1815701980617,682.9610224755916,57.29653690558496,-1.0,307.2775599547904
"Apartament 07, 2 camere,prima linie cu vedere la mare,Costinesti-Epava",52500.0,1427.0,36.8,2,"Strada Faleza Portului, Costinesti, Costinesti, Constanta",44.035343,28.652178,https://www.storia.ro/ro/oferta/apartament-07-2-camere-prima-linie-cu-vedere-la-mare-costinesti-epava-IDBFJQ,2025-03-18T08:47:38.723239,parter/5,0.0,,agenție,fara informatii,locuință nouă,drept de proprietate,în construcție,centrală pe gaz,86,true,true,false,true,true,true,false,true,785.7143228612088,0.15539371995762852,618.8450683127627,272.1815701980617,682.9610224755916,57.29653690558496,-1.0,307.2775599547904
Apartament 2 camere decomandat Bucium-800m de Lidl et.1/3 Cod:150717,70000.0,1522.0,46.0,2,"Soseaua Bucium, Bucium, Iasi, Iasi",47.12187,27.624605,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-bucium-800m-de-lidl-et-1-3-cod150717-IDD8jX,2025-03-18T08:47:46.600021,fara informatii,0.0,,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,90,true,false,true,true,true,true,true,true,90.11253337358161,903.3641998970338,73.09140833721767,766.0078537430263,236.8210179791673,84.5078857292624,479.28268309950045,89.25663004549453
"Apartament 2 camere Pacurari-Kaufland,et.2/3,mobilat,parcareCod:157971",115000.0,2300.0,50.0,2,"Soseaua Pacurari, Pacurari, Iasi, Iasi",47.17376,27.539488,https://www.storia.ro/ro/oferta/apartament-2-camere-pacurari-kaufland-et-2-3-mobilat-parcarecod157971-IDD8jV,2025-03-18T08:47:54.510274,fara informatii,0.0,,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,93,true,true,true,true,true,true,true,true,401.00360146622796,106.18787042398007,69.02065480892318,140.2178183659512,131.26592748772677,828.8120330796584,164.9691591566084,261.35377978299624
"Apartament 23, prima linie cu vedere la mare, Costinesti-Epava",69999.0,1400.0,50.0,2,"Strada Faleza Portului, Costinesti, Costinesti, Constanta",44.035343,28.652178,https://www.storia.ro/ro/oferta/apartament-23-prima-linie-cu-vedere-la-mare-costinesti-epava-IDCgU3,2025-03-18T08:48:03.697659,2/5,0.0,balcon,agenție,fara informatii,locuință nouă,drept de proprietate,în construcție,centrală pe gaz,86,true,true,false,true,true,true,false,true,785.7143228612088,0.15539371995762852,618.8450683127627,272.1815701980617,682.9610224755916,57.29653690558496,-1.0,307.2775599547904
Apartament 3 Camere Sector 4 Grand Arena Mobilat Mutare Imediata,138500.0,1592.0,87.0,3,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/apartament-3-camere-sector-4-grand-arena-mobilat-mutare-imediata-IDD8jW,2025-03-18T08:48:10.504122,3,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
Oferta promo Garsoniera in bloc nou Tip Boutique,45600.0,1169.0,39.0,1,"Popesti Leordeni, Ilfov",44.379906,26.169062,https://www.storia.ro/ro/oferta/oferta-promo-garsoniera-in-bloc-nou-tip-boutique-IDD8jU,2025-03-18T08:48:19.359388,N/A,0.0,,N/A,N/A,N/A,N/A,N/A,N/A,93,true,true,true,true,true,true,true,true,72.21012384568826,770.3683569662506,28.988662955077444,31.777901537080705,1511.7237436118046,0.11611102460595381,298.018654066583,854.6459520761614
