Description,Address,Rent,Additional infomation,Seller type,Free from,Property type,URL,Surface,Rooms,Property form,Price,Status,Heating type,Floor
Apartament de vânzare,"Centrul Nou, Brasov, Brasov",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=443,70m²,3 camere,fara informatii,110 000 €,fara informatii,fara informatii,3
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1763,60m²,2 camere,fara informatii,119 000 €,gata de utilizare,centralizată,2/3
Apartament de vânzare,"Navodari, Constanta",fara informatii,"balcon
bucătărie separată",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=883,30m²,1 cameră,fara informatii,56 500 €,gata de utilizare,centrală pe gaz,parter/6
Apartament de vânzare,"Strada Libertatii, Stefanestii De Jos, Ilfov",fara informatii,"balcon
terasă
bucătărie separată",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-cosmopolis-loc-parcare-IDyTyH,49m²,2 camere,fara informatii,105 000 €,fara informatii,centralizată,7
Apartament de vânzare,"Theodor Pallady, Sectorul 3, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/ap10-1-bl1-2-camere-titan-th-pallady-metrou-teclu-12-min-IDC4hh,47.21m²,2 camere,fara informatii,66 972 €,fara informatii,centralizată,1
Apartament de vânzare,"Blascovici, Timisoara, Timis",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1763,46m²,2 camere,fara informatii,135 000 €,fara informatii,centralizată,8
Apartament de vânzare,"Voluntari, Ilfov",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-de-2-camere-gradina-pipera-scoala-americana-IDBRPK,57m²,2 camere,fara informatii,129 000 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,balcon,agenție,2024-11-18,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=3,51m²,2 camere,drept de proprietate,73 500 €,gata de utilizare,centrală pe gaz,3/3
Apartament de vânzare,"Dambul Rotund, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartament-modern-cu-garaj-subteran-IDAtyh,55.8m²,2 camere,fara informatii,150 000 €,gata de utilizare,centralizată,3/5
Apartament de vânzare,"Strada Doctor Ghiulamila Ion, 13 Septembrie, Sectorul 5, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=883,95.68m²,4 camere,drept de proprietate,306 000 €,gata de utilizare,fara informatii,2/12
